KRAJ_ID;KRAJ;OKRES_ID;OKRES;OBEC_ID;OBEC;ZSJ_ID;ZSJ;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti;Najèastejšie používaný jazyk v domácnosti
KRAJ_ID;KRAJ;OKRES_ID;OKRES;OBEC_ID;OBEC;ZSJ_ID;ZSJ;slovenský;maïarský;rómsky;rusínsky;ukrajinský;èeský;nemecký;po¾ský;chorvátsky;jidiš;bulharský;anglický;ostatné;nezistený;spolu
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 044 550;Dubová ulica;1 419;12;;3;;26;15;1;;;;8;12;135;1 631
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 044 800;Holý vrch;528;7;;;;4;8;;;;;7;0;51;605
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 045 010;Kalvária;600;5;;2;4;10;4;;;;;6;4;54;689
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 045 100;Sokolovòa;732;18;;;2;10;6;1;;;4;4;5;61;843
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 045 520;Karpatská ulica;1 689;26;;2;;18;5;1;2;;;6;23;143;1 915
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 045 610;Banskobystrická ulica;493;24;;1;1;3;4;;;;;;0;62;588
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 045 790;Nová scéna;414;19;;1;1;9;3;;;;;4;9;56;516
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 045 870;Rektorát techniky;66;;;;;;1;;;;;;1;4;72
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 045 950;Avion;2 061;37;1;3;2;22;2;;1;;;12;11;227;2 379
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 046 090;Vazovova;958;15;;1;;7;1;;;;;4;7;145;1 138
1;Bratislavský kraj;101;Bratislava I;528 595;Bratislava - Staré Mesto;2 061 300;Žilinská ulica;2 634;31;;3;;29;15;;1;2;;13;17;369;3 114
1;Bratislavský kraj;102;Bratislava II;529 311;Bratislava - Podunajské Biskupice;2 477 580;Podunajské Biskupice - západ;3 546;640;16;1;2;23;7;5;3;;1;8;69;425;4 746
1;Bratislavský kraj;102;Bratislava II;529 311;Bratislava - Podunajské Biskupice;2 793 740;Hydrostav;235;16;;1;1;1;;;;;;;0;22;276
1;Bratislavský kraj;102;Bratislava II;529 311;Bratislava - Podunajské Biskupice;2 793 820;Medzi jarkami;3 539;137;2;5;;21;6;2;2;;;13;25;416;4 168
1;Bratislavský kraj;102;Bratislava II;529 311;Bratislava - Podunajské Biskupice;2 793 910;Dolné hony - juh;4 226;149;3;5;2;23;6;2;;1;;14;23;498;4 952
1;Bratislavský kraj;102;Bratislava II;529 311;Bratislava - Podunajské Biskupice;2 794 040;Podunajské Biskupice - centrum;3 160;198;1;6;;21;2;;;;;6;25;290;3 709
1;Bratislavský kraj;102;Bratislava II;529 311;Bratislava - Podunajské Biskupice;2 794 120;Orenburská ulica;1 601;427;;1;;9;8;1;;;;4;12;287;2 350
1;Bratislavský kraj;102;Bratislava II;529 311;Bratislava - Podunajské Biskupice;2 794 210;Lesný hon;227;58;;;;2;;;;;;;2;30;319
1;Bratislavský kraj;102;Bratislava II;529 311;Bratislava - Podunajské Biskupice;2 794 630;Kopáè;82;1;;;;;;;;;;;0;8;91
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 042 510;Koce¾ova ulica;1 772;41;1;2;;17;3;1;;3;;16;27;206;2 089
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 042 690;Sídlisko >500 bytov<;1 912;39;;1;1;16;6;;;2;;8;24;239;2 248
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 042 770;Zvolenská ulica;3 047;126;3;4;;14;5;;8;;;12;44;350;3 613
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 042 850;Ružová dolina;4 424;93;1;3;4;39;19;;;;;24;86;428;5 121
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 043 070;Plynárenské závody;160;10;;;;2;1;1;;;;;2;18;194
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 043 150;Pálenisko;298;4;1;;;1;1;;;;;2;7;44;358
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 043 230;Prístav;14;;;;;;;;;;;;0;5;19
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 046 680;Jelaèièova ulica;1 696;39;;8;2;20;8;4;;1;;5;30;179;1 992
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 046 760;Priemyselný obvod Miletièova;486;6;;;;1;1;;1;;;;0;126;621
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 046 840;Starý Ružinov;4 136;95;;2;2;23;13;1;3;1;;24;50;477;4 827
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 053 460;Trnávka - juh;2 625;36;;6;2;7;7;7;1;1;;20;39;250;3 001
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 053 540;Trnávka - sever;2 779;53;;9;1;31;6;;;;;7;47;355;3 288
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 053 890;Krajná ulica;474;8;;;;11;3;;;;;2;8;45;551
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 053 970;Ivanská cesta - skleníky;24;;;;;;;;;;;;0;1;25
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 054 010;Pri letisku Ivanka;3;2;;;;;;;;;;;0;40;45
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 054 190;Letisko Ivanka;14;;;;;;;;;;;;0;2;16
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 054 270;Záhradníctvo;2;;;;;;;;;;;;0;32;34
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 054 510;Martinský cintorín;5;;;;;;;;;;;;0;;5
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 054 600;Štrkovec - sever;3 489;63;1;2;1;29;10;;1;;2;13;55;447;4 113
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 054 780;Štrkovec - juh;3 779;94;;3;1;38;18;1;2;;;15;47;520;4 518
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 054 860;Ostredky - sever;3 621;95;;7;2;43;9;;3;1;;22;28;392;4 223
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 054 940;Ostredky - juh;3 033;96;1;;;13;5;1;1;;;5;22;364;3 541
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 055 080;Trávniky - západ;3 224;65;3;2;3;34;7;1;2;;2;5;29;326;3 703
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 055 160;Trávniky - východ;4 516;118;3;6;1;28;8;1;1;;;13;39;628;5 362
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 055 240;Pošeò - západ;2 186;49;1;1;;16;3;1;;;;9;9;372;2 647
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 055 320;Pošeò - východ;3 860;79;1;1;2;39;11;;2;;;12;52;508;4 567
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 055 590;Strojnícka ulica;498;17;;;;2;7;;1;;;;8;90;623
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 055 670;Prievoz - východ;2 575;55;;8;4;21;7;2;2;;;14;43;294;3 025
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 055 750;Prievoz - západ;2 851;58;;4;;25;6;;2;;;4;18;251;3 219
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 055 910;Družstevný dvor Prievoz;74;1;;;;;;;;;;1;0;19;95
1;Bratislavský kraj;102;Bratislava II;529 320;Bratislava - Ružinov;2 056 050;Ústredná nákladná stanica;10;4;;;;;;;;;;;0;8;22
